Type	ID	Name	Description	Target	MoA
cp	BRD-A51393488	noscapine	Bradykinin receptor antagonist	BDKRB2, SIGMAR1	Bradykinin receptor antagonist, Tubulin inhibitor
cp	BRD-K46384212	o-3M3FBS	phospholipase activator		phospholipase activator
cp	BRD-K15600710	obatoclax	BCL inhibitor	BCL2, BCL2L1, MCL1	BCL inhibitor
cp	BRD-K39944607	ochratoxin-a	Phenylalanyl tRNA synthetase inhibitor	SLC22A6	Phenylalanyl tRNA synthetase inhibitor
cp	BRD-A24228527	ofloxacin	Bacterial DNA gyrase inhibitor	TOP2A	Bacterial DNA gyrase inhibitor
cp	BRD-K18895904	olanzapine	Dopamine receptor antagonist	DRD2, HTR2A, HTR2C, DRD1, DRD3, DRD4, HRH1, HTR1A, HTR1B, HTR1D, HTR1E, HTR6, HTR7, ADRA1A, ADRA1B, ADRA2A, ADRA2B, ADRA2C, ADRB1, ADRB2, ADRB3, CHRM1, CHRM2, CHRM3, CHRM4, CHRM5, CYP2C8, DRD5, GABRA1, GABRA2, GABRA3, GABRA4, GABRA5, GABRA6, GABRB1, GABRB2, GABRB3, GABRD, GABRE, GABRG1, GABRG2, GABRG3, GABRP, GABRQ, HRH2, HRH4, HTR1F, HTR2B, HTR3A, HTR5A	Dopamine receptor antagonist, Serotonin receptor antagonist
cp	BRD-K02113016	olaparib	PARP inhibitor	PARP1, PARP2, PARP3	PARP inhibitor
cp	BRD-A41112154	oleanolic-acid	G protein-coupled receptor agonist		G protein-coupled receptor agonist
cp	BRD-K66956375	oleoylethanolamide	Cannabinoid receptor agonist	CNR1, GPR119, GPR55, KCND3, PPARA	Cannabinoid receptor agonist, Glucose dependent insulinotropic receptor agonist, Potassium channel blocker, PPAR receptor agonist
cp	BRD-K31987754	oleylethanolamide	Cannabinoid receptor agonist	GPR119, CNR1, GPR55, KCND3, PPARA	Cannabinoid receptor agonist, Potassium channel blocker, Glucose dependent insulinotropic receptor agonist
cp	BRD-K74133369	oligomycin-a	ATP synthase inhibitor	ATP5A1	ATP synthase inhibitor, ATPase inhibitor
cp	BRD-K05350981	oligomycin-c	ATPase inhibitor	ATP5A1	ATPase inhibitor, ATP synthase inhibitor
cp	BRD-K78485176	olmesartan	Angiotensin receptor antagonist	AGTR1	Angiotensin receptor antagonist
cp	BRD-K83144676	olmesartan	Angiotensin antagonist	AGTR1	Angiotensin antagonist
cp	BRD-K82731415	olomoucine	CDK inhibitor	CDK1, CDK2, CDK5, MAPK1	CDK inhibitor
cp	BRD-K67637637	olopatadine	Histamine receptor antagonist	HRH1, S100A1, S100A12, S100A13, S100A2, S100B	Histamine receptor antagonist
cp	BRD-K86958018	olvanil	TRPV agonist	TRPV1, CNR1, GPR119	TRPV agonist
cp	BRD-A19736161	ondansetron	Serotonin receptor antagonist	HTR3A, CYP2D6, CYP3A5, HTR1A, HTR1B, HTR3B, HTR4, OPRM1	Serotonin receptor antagonist
cp	BRD-K91696562	orantinib	FGFR inhibitor	PDGFRB, AURKA, AURKB, KDR, EGFR, FGFR1, FGFR2, PDGFRA, TBK1	FGFR inhibitor, VEGFR inhibitor, PDGFR receptor inhibitor
cp	BRD-A07780951	orciprenaline	Adrenergic receptor agonist	ADRB2	Adrenergic receptor agonist
cp	BRD-K63343048	orlistat	Lipase inhibitor	PNLIP, DAGLA, FASN, LIPF, CNR1, DAGLB	Lipase inhibitor
cp	BRD-K25310650	ormetoprim	Bacterial antifolate		Bacterial antifolate
cp	BRD-A42759514	ornidazole	Antiprotozoal		Antiprotozoal
cp	BRD-A53576514	orphenadrine	Acetylcholine receptor antagonist	CYP2B6, GRIN1, GRIN2D, GRIN3A, GRIN3B, HRH1, SCN10A, SLC6A2	Acetylcholine receptor antagonist
cp	BRD-K78294846	osthol	Calcium channel blocker		Calcium channel blocker
cp	BRD-A00520476	otenzepad	Acetylcholine receptor antagonist		Acetylcholine receptor antagonist
cp	BRD-A68930007	ouabain	ATPase inhibitor	ATP1A1, ATP1A2, ATP1A3, ATP1A4, ATP1B1, ATP1B2, ATP1B3, ATP1B4, FXYD2	ATPase inhibitor
cp	BRD-A80574334	oxalomalic-acid	Isocitrate dehydrogenase inhibitor	ACO1, IDH1	Isocitrate dehydrogenase inhibitor
cp	BRD-K66019333	oxantel	Anthelmintic		Anthelmintic
cp	BRD-K25394294	oxaprozin	Cyclooxygenase inhibitor	PTGS1, PTGS2	Cyclooxygenase inhibitor
cp	BRD-K04196797	oxcarbazepine	Sodium channel blocker	CYP2C19, CYP3A4, CYP3A5, SCN1A, SCN3A, SCN5A	Sodium channel blocker
cp	BRD-A33447119	oxfendazole	Anthelmintic		Anthelmintic
cp	BRD-K52075715	oxibendazole	Tubulin inhibitor	TUBB, TUBB4B	Tubulin inhibitor
cp	BRD-K23369905	oxiconazole	Bacterial cell wall synthesis inhibitor		Bacterial cell wall synthesis inhibitor
cp	BRD-K51816706	oxindole-I	VEGFR inhibitor	AKT1, KDR, PDPK1, RET	VEGFR inhibitor
cp	BRD-K21936341	oxotremorine	Acetylcholine receptor agonist	CHRM2, CHRM1, CHRM3, CHRM4	Acetylcholine receptor agonist, Cholinergic receptor agonist
cp	BRD-A43671941	oxprenolol	Adrenergic receptor antagonist	ADRB1, ADRB2	Adrenergic receptor antagonist
cp	BRD-K59037100	oxybenzone	Lipase inhibitor	LIPE	Lipase inhibitor
cp	BRD-K04185004	oxybuprocaine	Local anesthetic	SCN10A	Local anesthetic
cp	BRD-A65013509	oxybutynin	Acetylcholine receptor antagonist	CHRM3, CHRM1, CHRM2, CHRM4	Acetylcholine receptor antagonist
cp	BRD-K16195444	oxymetazoline	Adrenergic receptor agonist	ADRA1A, ADRA2A, ADRA1B, ADRA1D, ADRA2B, ADRA2C, CYP2C19, HTR1B, HTR1D, HTR2C	Adrenergic receptor agonist
cp	BRD-A23637604	oxymetholone	Androgen receptor agonist	AR	Androgen receptor agonist
cp	BRD-A14208071	oxyphenonium	Cholinergic receptor antagonist	CHRM1	Cholinergic receptor antagonist
cp	BRD-K19525698	ozagrel	Thromboxane synthase inhibitor	TBXAS1	Thromboxane synthase inhibitor
cp	BRD-A28746609	paclitaxel	Tubulin inhibitor	TUBB, NR1I2, ABCB1, BCL2, CYP2C8, MAP2, MAP4, MAPT, TLR4, TUBB1	Tubulin inhibitor
cp	BRD-K51313569	palbociclib	CDK inhibitor	CDK4, CDK6, CCND3	CDK inhibitor
cp	BRD-K68095457	palmitoylethanolamide	Cannabinoid receptor agonist	CNR2, GPR119, GPR55	Cannabinoid receptor agonist
cp	BRD-K08924299	palonosetron	Serotonin receptor antagonist	HTR3A	Serotonin receptor antagonist
cp	BRD-A84134924	pancuronium	Acetylcholine receptor antagonist	CHRM2, CHRM3, CHRNA1, CHRNA2	Acetylcholine receptor antagonist
cp	BRD-K02130563	panobinostat	HDAC inhibitor	HDAC1, HDAC2, HDAC3, HDAC4, HDAC6, HDAC7, HDAC8, HDAC9	HDAC inhibitor
cp	BRD-A22380646	pantoprazole	ATPase inhibitor	ATP4A, CYP2C19, CYP3A4	ATPase inhibitor
cp	BRD-K15567136	papaverine	Phosphodiesterase inhibitor	PDE10A, PDE4B, PDE5A	Phosphodiesterase inhibitor
cp	BRD-K40992116	parachlorophenol	Anti-infective		Anti-infective
cp	BRD-K02407574	parbendazole	Tubulin inhibitor	TUBB	Tubulin inhibitor
cp	BRD-K13800121	parecoxib	Cyclooxygenase inhibitor	LTF, PTGS2	Cyclooxygenase inhibitor
cp	BRD-K83597974	pargyline	Monoamine oxidase inhibitor	MAOB, MAOA	Monoamine oxidase inhibitor
cp	BRD-K37991163	paroxetine	Selective serotonin reuptake inhibitor (SSRI)	SLC6A4, CHRM1, CHRM2, CHRM3, CHRM4, CHRM5, HTR2A, SLC6A2	Selective serotonin reuptake inhibitor (SSRI)
cp	BRD-K98548675	parthenolide	NFkB pathway inhibitor	ADIPOR2, IKBKB, RELA	NFkB pathway inhibitor, Adiponectin receptor agonist
cp	BRD-K28120222	parthenolide	NFkB pathway inhibitor	ADIPOR2, IKBKB, RELA	NFkB pathway inhibitor
cp	BRD-K38251852	paxilline	Potassium channel blocker	ABCA1, KCNMA1, NR1H3	Potassium channel blocker
cp	BRD-K74514084	pazopanib	KIT inhibitor	KDR, KIT, FLT1, FLT4, PDGFRB, PDGFRA, BRAF, CSF1R, CYP2B6, CYP2C8, CYP2E1, DDR2, FGF1, FGFR1, FGFR3, ITK, SH2B3	KIT inhibitor, PDGFR receptor inhibitor, VEGFR inhibitor
cp	BRD-K66412701	pazufloxacin	Topoisomerase inhibitor		Topoisomerase inhibitor
cp	BRD-K55034111	pefloxacin	Bacterial DNA gyrase inhibitor	TOP2A	Bacterial DNA gyrase inhibitor
cp	BRD-A80793822	pemoline	Dopamine receptor agonist		Dopamine receptor agonist
cp	BRD-K47780086	penciclovir	DNA directed DNA polymerase inhibitor		DNA directed DNA polymerase inhibitor
cp	BRD-K15409150	penfluridol	T-type calcium channel blocker	CACNA1G, DRD1, DRD2	T-type calcium channel blocker
cp	BRD-A43150328	penicillic-acid	other antibiotic		other antibiotic
cp	BRD-A84702196	penicillin	Bacterial cell wall synthesis inhibitor		Bacterial cell wall synthesis inhibitor
cp	BRD-K03842655	penitrem-a	Potassium channel blocker	KCNMA1	Potassium channel blocker
cp	BRD-A44448661	pentobarbital	Barbiturate antiepileptic	GABRA1, CHRNA4, CHRNA7, GABRA2, GABRA3, GABRA4, GABRA5, GABRA6, GABRB1, GABRB2, GABRB3, GABRD, GABRE, GABRG1, GABRG2, GABRG3, GABRP, GABRQ, GRIA2, GRIK2, GRIN1, GRIN2A, GRIN2B, GRIN2C, GRIN2D, GRIN3A, GRIN3B	Barbiturate antiepileptic, GABA receptor modulator
cp	BRD-K57569181	pentoxifylline	Phosphodiesterase inhibitor	TNF, ACHE, ADORA1, ADORA2A, ADRA2B, CHIA, NT5E, PDE4A, PDE4B, PDE5A	Phosphodiesterase inhibitor
cp	BRD-K57718010	pentylenetetrazol	GABA receptor antagonist		GABA receptor antagonist
cp	BRD-K13571841	pepstatin	Aspartic protease inhibitor	CTSB, CTSD, CTSL, REN	Aspartic protease inhibitor
cp	BRD-K60770992	pergolide	Dopamine receptor agonist	DRD1, DRD2, ADRA2A, ADRA2B, ADRA2C, DRD3, DRD4, DRD5, HTR1A, HTR1B, HTR1D, HTR2A, HTR2B, HTR2C, ADRA1A, ADRA1B, ADRA1D, KCNA5	Dopamine receptor agonist
cp	BRD-A19633847	perhexiline	Carnitine palmitoyltransferase inhibitor	CPT1A, CPT2	Carnitine palmitoyltransferase inhibitor
cp	BRD-K92731339	perindopril	ACE inhibitor	ACE	ACE inhibitor
cp	BRD-A45333398	periplocymarin	Apoptosis stimulant		Apoptosis stimulant
cp	BRD-K85503079	perospirone	Dopamine receptor antagonist	DRD2, HTR2A, DRD3, DRD4, HTR2C	Dopamine receptor antagonist, Serotonin receptor antagonist
cp	BRD-K10995081	perphenazine	Dopamine receptor antagonist	DRD2, CALM1, DRD1, HRH1, HTR2A, HTR2C, HTR6, HTR7	Dopamine receptor antagonist
cp	BRD-K72034655	peucedanin	Apoptosis stimulant		Apoptosis stimulant
cp	BRD-K38323065	phenacetin	Cyclooxygenase inhibitor	PTGS1	Cyclooxygenase inhibitor
cp	BRD-K21350491	phenamil	TRPV antagonist	PKD2L1	TRPV antagonist
cp	BRD-K11163873	phenanthridone	PARP inhibitor	PARP1	PARP inhibitor
cp	BRD-K46937689	phenazone	Cyclooxygenase inhibitor	PTGS1, PTGS2	Cyclooxygenase inhibitor
cp	BRD-K76304753	phenazopyridine	Local anesthetic	SCN1A	Local anesthetic
cp	BRD-K87024524	phenelzine	Monoamine oxidase inhibitor	MAOB, AOC3, MAOA, ABAT, GAD2, GPT, GPT2, SLC6A2, SLC6A3, SLC6A4	Monoamine oxidase inhibitor
cp	BRD-K56700933	phenethyl-isothiocyanate	Antineoplastic	CYP2E1	Antineoplastic
cp	BRD-K11399644	phenformin	AMPK activator	KCNJ8, PRKAA1	AMPK activator
cp	BRD-A23072235	pheniramine	Histamine receptor antagonist	HRH1	Histamine receptor antagonist
cp	BRD-K19227686	phenolphthalein	Indicator dye		Indicator dye
cp	BRD-K59597909	phenothiazine	Dopamine receptor antagonist		Dopamine receptor antagonist
cp	BRD-A67799922	phenoxybenzamine	Adrenergic receptor antagonist	ADRA2B, ADRA1A, ADRA1B, ADRA1D, ADRA2A, ADRA2C, ADRB2, CALM1	Adrenergic receptor antagonist
cp	BRD-K22009844	phenprobamate	Muscle relaxant		Muscle relaxant
cp	BRD-A18043272	phensuximide	Succinimide antiepileptic		Succinimide antiepileptic
cp	BRD-K96319534	phentermine	Dopamine uptake inhibitor	MAOA, MAOB, SLC6A2, SLC6A3, SLC6A4	Dopamine uptake inhibitor, Serotonin reuptake inhibitor
cp	BRD-K90333595	phentolamine	Adrenergic receptor antagonist	ADRA1A, ADRA2A, ADRA1B, ADRA1D, ADRA2B, ADRA2C	Adrenergic receptor antagonist
cp	BRD-K10843433	phenylbutazone	Cyclooxygenase inhibitor	PTGS2, PTGS1, PTGIS	Cyclooxygenase inhibitor, Prostanoid receptor antagonist
cp	BRD-K67102207	phenylbutyrate	HDAC inhibitor	CYP3A5, HDAC1	HDAC inhibitor
cp	BRD-K55930204	phenytoin	Hydantoin antiepileptic	ABCB1, CYP2B6, CYP2C19, CYP3A4, SCN1A, SCN2A, SCN5A	Hydantoin antiepileptic
cp	BRD-K15563106	phloretin	Sodium/glucose cotransporter inhibitor	AQP9, CLCN3, SLC23A1	Sodium/glucose cotransporter inhibitor
cp	BRD-A15079084	phorbol-12-myristate-13-acetate	PKC activator	CD4, KCNT2, PRKCA, TRPV4	PKC activator
cp	BRD-K68873215	phosphodiesterase-V-inhibitor-II	Phosphodiesterase inhibitor	PDE5A	Phosphodiesterase inhibitor
cp	BRD-A55815733	phylloquinone	Vitamin K	BGLAP, GGCX	Vitamin K, Gamma carboxylase enzyme
cp	BRD-A37052580	physostigmine	Acetylcholinesterase inhibitor	ACHE, BCHE	Acetylcholinesterase inhibitor, Cholinesterase inhibitor
cp	BRD-K26241953	piceatannol	SYK inhibitor	ATP5A1, ATP5B, ATP5C1, IRF3, PTGS2, SIRT1, SYK, TYR	SYK inhibitor
cp	BRD-K14536225	piceid	Glucosidase inhibitor	GAA, XDH	Glucosidase inhibitor
cp	BRD-K43236057	piceid	ICAM1 inhibitor	GAA, XDH	ICAM1 inhibitor
cp	BRD-K67277431	picotamide	Thromboxane receptor antagonist	TBXA2R, TBXAS1	Thromboxane receptor antagonist, Thromboxane synthase inhibitor
cp	BRD-A37817666	picrotoxin	GABA receptor antagonist	GABRA1, GLRA2, GLRA3, GABRR1, GLRA1, GLRB, HTR3A, HTR3B	GABA receptor antagonist
cp	BRD-K04548931	pidorubicine	Topoisomerase inhibitor	TOP2A	Topoisomerase inhibitor
cp	BRD-K44442813	pidotimod	Interferon receptor agonist		Interferon receptor agonist, Interleukin receptor agonist
cp	BRD-K31792052	pifithrin	Interleukin receptor antagonist		Interleukin receptor antagonist
cp	BRD-K66874953	pifithrin-alpha	TP53 inhibitor	TP53	TP53 inhibitor
cp	BRD-K96799727	pifithrin-mu	HSP inhibitor	HSPA1A, TP53	HSP inhibitor
cp	BRD-K85090592	pilocarpine	Acetylcholine receptor agonist	CHRM3, CHRM1, CHRM2, CHRM4, CHRM5	Acetylcholine receptor agonist
cp	BRD-K01292756	pimozide	Dopamine receptor antagonist	DRD2, DRD3, CACNA1I, CALM1, HRH1, HTR1A, HTR2A, KCNA10, KCNH2	Dopamine receptor antagonist
cp	BRD-A43882281	pinacidil	ATP channel activator	ABCC9, KCNJ8	ATP channel activator, Potassium channel activator
cp	BRD-A97701745	pindolol	Adrenergic receptor antagonist	ADRB1, ADRB2, HTR1A, HTR1B, HTR2A, HTR2B	Adrenergic receptor antagonist, Serotonin receptor antagonist
cp	BRD-K94689771	pinocembrin	CYP1B1 inhibitor	AR, CYP1B1, SRD5A1, SRD5A2	CYP1B1 inhibitor
cp	BRD-A48430263	pioglitazone	Insulin sensitizer	PPARG, INS, TRPM3	Insulin sensitizer, PPAR receptor agonist
cp	BRD-K26801045	pipamperone	Dopamine receptor antagonist	DRD2, HTR2A, HRH1, HTR1A, HTR1B, HTR1D	Dopamine receptor antagonist
cp	BRD-K16277217	piperacetazine	Dopamine receptor antagonist		Dopamine receptor antagonist
cp	BRD-K86873305	piperacillin	Bacterial cell wall synthesis inhibitor		Bacterial cell wall synthesis inhibitor
cp	BRD-A97479839	piperidolate	Acetylcholine receptor antagonist	CHRM1	Acetylcholine receptor antagonist
cp	BRD-K59522102	piperine	Monoamine oxidase inhibitor	MAOA, MAOB, TRPV1	Monoamine oxidase inhibitor
cp	BRD-K24132293	piperlongumine	Glutathione transferase inhibitor		Glutathione transferase inhibitor
cp	BRD-K83794624	pirarubicin	Topoisomerase inhibitor	TOP2A	Topoisomerase inhibitor
cp	BRD-K25224017	pirenperone	Serotonin receptor antagonist	HTR2A, HTR7	Serotonin receptor antagonist
cp	BRD-K89375097	pirenzepine	Acetylcholine receptor antagonist	CHRM1, CHRM2, CHRM3, CHRM4, CHRM5	Acetylcholine receptor antagonist
cp	BRD-K87990216	piretanide	Glucocorticoid receptor agonist	SLC12A1, SLC12A2	Glucocorticoid receptor agonist
cp	BRD-K96862998	pirfenidone	TGF beta receptor inhibitor	TNF, FURIN, MAPK14, TNFRSF1A	TGF beta receptor inhibitor
cp	BRD-K47936004	piribedil	Dopamine receptor agonist	DRD2, DRD3, ADRA1A, ADRA2A, ADRA2C, DRD4, HTR1A, HTR2B	Dopamine receptor agonist
cp	BRD-K01902415	pirinixic-acid	PPAR receptor agonist	PPARA	PPAR receptor agonist
cp	BRD-A54490543	pirlindole	Monoamine oxidase inhibitor	MAOA, SLC6A2, SLC6A4	Monoamine oxidase inhibitor
cp	BRD-A57382968	piroxicam	Cyclooxygenase inhibitor	PTGS2, PTGS1	Cyclooxygenase inhibitor
cp	BRD-K30097969	pitavastatin	HMGCR inhibitor	HMGCR, APOA1, CYP2C8	HMGCR inhibitor
cp	BRD-K67100011	pivmecillinam	Bacterial cell wall synthesis inhibitor		Bacterial cell wall synthesis inhibitor
cp	BRD-K75958195	pizotifen	Serotonin receptor antagonist	HTR2A, HTR1A, HTR2C	Serotonin receptor antagonist
cp	BRD-K47869605	podophyllotoxin	Microtubule inhibitor	IGF1R, CASP3, TOP2A, TUBA4A, TUBB	Microtubule inhibitor, Tubulin inhibitor
cp	BRD-K68332390	ponalrestat	Aldose reductase inhibitor	AKR1B1	Aldose reductase inhibitor
cp	BRD-A41304429	practolol	Adrenergic receptor antagonist	ADRB1	Adrenergic receptor antagonist
cp	BRD-K06388322	pramipexole	Dopamine receptor agonist	DRD3, DRD2, ADRA2A, ADRA2B, ADRA2C, DRD1, DRD4, DRD5, HTR1A, HTR1B, HTR1D, HTR2A, HTR2B, HTR2C	Dopamine receptor agonist
cp	BRD-K60511616	pravastatin	HMGCR inhibitor	HMGCR, SLCO1B1	HMGCR inhibitor
cp	BRD-A21858158	praziquantel	Anthelmintic		Anthelmintic
cp	BRD-K49111258	prazosin	Adrenergic receptor antagonist	ADRA1A, ADRA1B, ADRA1D, ADRA2A, ADRA2B, ADRA2C, CDK1, KCNH2, KCNH6, KCNH7	Adrenergic receptor antagonist
cp	BRD-K46137903	prednicarbate	Phospholipase activator	NR3C1, PLA2G1B	Phospholipase activator
cp	BRD-A27887842	prednisolone	Glucocorticoid receptor agonist	NR3C1, NR3C2, SERPINA6	Glucocorticoid receptor agonist
cp	BRD-A01643550	prednisolone	Glucocorticoid receptor agonist	NR3C1, NR3C2, SERPINA6	Glucocorticoid receptor agonist
cp	BRD-A78391468	prednisolone	Glucocorticoid receptor agonist	NR3C1, NR3C2, SERPINA6	Glucocorticoid receptor agonist
cp	BRD-A62525898	prednisone	Glucocorticoid receptor agonist	NR3C1, HSD11B1	Glucocorticoid receptor agonist
cp	BRD-A35912562	pregnenolone	Glutamate receptor modulator	CYP17A1, PGR, SULT2B1	Glutamate receptor modulator, Acetylcholine release enhancer, Dopamine release enhancer, GABA receptor negative allosteric modulator
cp	BRD-K43880410	pregnenolone	glutamate receptor modulator	CYP17A1, PGR, SULT2B1	glutamate receptor modulator
cp	BRD-K17378184	prestwick-559	Dopamine receptor agonist	DRD3, ADRA1A, ADRA1D, ADRA2A, DRD1, DRD2, DRD4, HTR1A, HTR2B	Dopamine receptor agonist
cp	BRD-A53952395	prilocaine	Local anesthetic	SCN5A	Local anesthetic
cp	BRD-K49456190	prima-1-met	thioredoxin inhibitor	TP53	thioredoxin inhibitor
cp	BRD-A55913614	primaquine	Antimalarial	KRT7, NQO2	Antimalarial, DNA inhibitor
cp	BRD-K32247306	primidone	GABA receptor antagonist	GABRA1, CHRNA4, CHRNA7, GABRA2, GABRA3, GABRA4, GABRA5, GABRA6, GABRB1, GABRB2, GABRB3, GABRD, GABRE, GABRG1, GABRG2, GABRG3, GABRP, GABRQ, GRIA2, GRIK2	GABA receptor antagonist
cp	BRD-K46317332	proadifen	Nitric oxide synthase inhibitor	NOS1	Nitric oxide synthase inhibitor
cp	BRD-K95237249	probenecid	Uricosuric blocker	SLC22A6, ABCC1, PANX1, SLC22A11, SLC22A8, SLCO1C1, TRPV2	Uricosuric blocker
cp	BRD-K72029282	probucol	Atherogenesis inhibitor	ABCA1, ABCB11, CES1	Atherogenesis inhibitor
cp	BRD-K75089421	procainamide	Sodium channel blocker	SCN5A, DNMT1	Sodium channel blocker
cp	BRD-K13032584	procarbazine	Monoamine oxidase inhibitor		Monoamine oxidase inhibitor
cp	BRD-A22684332	procaterol	Adrenergic receptor agonist	ADRB2	Adrenergic receptor agonist
cp	BRD-K19352500	prochlorperazine	Dopamine receptor antagonist	DRD2, DRD1, DRD3, DRD4	Dopamine receptor antagonist
cp	BRD-A31800922	procyclidine	Acetylcholine receptor antagonist	CHRM1, CHRM2, CHRM3, CHRM4	Acetylcholine receptor antagonist
cp	BRD-A16311756	profenamine	Butyrylcholinesterase inhibitor	CHRM1, BCHE, CHRM2, GRIN3A	Butyrylcholinesterase inhibitor, Cholinergic receptor antagonist
cp	BRD-K64994968	progesterone	Progesterone receptor agonist	PGR, CYP17A1, NR3C2, CATSPER1, CATSPER2, CATSPER3, CATSPER4, CYP2C19, ESR1, OPRK1, TRPC5	Progesterone receptor agonist
cp	BRD-K28183345	proguanil	Dihydrofolate reductase inhibitor	CYP2C19, DHFR	Dihydrofolate reductase inhibitor
cp	BRD-K06980535	promazine	Dopamine receptor antagonist	CHRM5, DRD2, ADRA1A, ADRA1B, ADRA1D, CHRM1, CHRM2, CHRM3, CHRM4, DRD1, DRD3, DRD4, HRH1, HTR2A, HTR2C	Dopamine receptor antagonist
cp	BRD-K99029477	prometon	Photosynthesis inhibitor		Photosynthesis inhibitor
cp	BRD-A26334849	propafenone	Antiarrhythmic	KCNH2, SCN5A, ADRB1, ADRB2, KCNA5, KCNK2, KCNK3	Antiarrhythmic
cp	BRD-K90885812	propantheline	Acetylcholine receptor antagonist	CHRM1, CHRM2, CHRM3, CHRM4	Acetylcholine receptor antagonist
cp	BRD-K59273480	propentofylline	Adenosine reuptake inhibitor	ACHE	Adenosine reuptake inhibitor, Phosphodiesterase inhibitor
cp	BRD-K82255054	propofol	GABA receptor agonist	CYP2B6, FAAH, GABRA1, GABRA2, GABRA3, GABRA4, GABRA5, GABRA6, GABRB1, GABRB2, GABRB3, GABRD, GABRE, GABRG1, GABRG2, GABRG3, GABRP, GABRQ, SCN2A, SCN4A, TRPV1	GABA receptor agonist
cp	BRD-K18250272	propoxycaine	Local anesthetic		Local anesthetic
cp	BRD-A10070317	propranolol	Adrenergic receptor antagonist	ADRB2, ADRB3, ADRB1, CYP2C19, HTR1A, HTR1B	Adrenergic receptor antagonist
cp	BRD-K87573634	propylpyrazole	Estrogen receptor agonist	ESR1	Estrogen receptor agonist
cp	BRD-K48168960	propylthiouracil	Thyroid peroxidase inhibitor	TPO, DIO1	Thyroid peroxidase inhibitor
cp	BRD-A34806832	proscillaridin	ATPase inhibitor	ATP1A1	ATPase inhibitor
cp	BRD-K09436313	prostaglandin	Prostanoid receptor antagonist	AKR1C3, PTGDR, PTGDR2, PTGER1, PTGER2, PTGER4, PTGFR	Prostanoid receptor antagonist
cp	BRD-K04010869	prostaglandin-a1	HSP inducer		HSP inducer, NFkB pathway inhibitor
cp	BRD-K82865713	prostaglandin-b2	cAMP inhibitor		cAMP inhibitor
cp	BRD-K52459643	prostaglandin-e1	Prostanoid receptor agonist	PTGER1, PTGER2, CATSPER1, CATSPER2, CATSPER3, CATSPER4, PTGDR, PTGER4, PTGIR	Prostanoid receptor agonist
cp	BRD-K91145395	prostratin	PKC activator	PRKCA, PRKCB, PRKCD, PRKCE, PRKCG, PRKCH, PRKCQ	PKC activator
cp	BRD-K02581333	protein-tyrosine-phosphatase-inhibitor-IV	Tyrosine phosphatase inhibitor	PTPN1, PTPN11	Tyrosine phosphatase inhibitor
cp	BRD-K97863768	prothionamide	Mycobacterium tuberculosis enoyl-[acyl-carrier-protein] reductase [NADH] (inhA) inhibitor		Mycobacterium tuberculosis enoyl-[acyl-carrier-protein] reductase [NADH] (inhA) inhibitor
cp	BRD-K83302049	protopine	Histamine receptor antagonist	ACHE, SLC6A2, SLC6A4	Histamine receptor antagonist
cp	BRD-K42098891	protriptyline	Tricyclic antidepressant	SLC6A2, SLC6A4	Tricyclic antidepressant
cp	BRD-K77171813	proxyfan	Histamine receptor modulator	HRH3	Histamine receptor modulator
cp	BRD-K79116891	proxymetacaine	Sodium channel blocker	SCN10A, SCN5A, SCN9A	Sodium channel blocker
cp	BRD-K57546357	prunetin	Breast cancer resistance protein inhibitor	ABCG2, ALDH2	Breast cancer resistance protein inhibitor
cp	BRD-K84175871	pseudoephedrine	Adrenergic receptor agonist	ADRA1A, ADRA2A, ADRB1, ADRB2, ATF1, ATF2, ATF3, ATF4, ATF5, ATF6, ATF7, CXCL8, FOS, HRH1, IL2, JDP2, JUN, NFATC1, SLC6A2, SLC6A3, SLC6A4, TNF	Adrenergic receptor agonist
cp	BRD-A19053259	pseudopelletierine	Anthelmintic		Anthelmintic
cp	BRD-K04170657	psoromic-acid	Ras GTPase inhibitor		Ras GTPase inhibitor
cp	BRD-K92870997	pterostilbene	Cyclooxygenase inhibitor	FAAH, PPARA, PTGS1, PTGS2	Cyclooxygenase inhibitor, PPAR receptor agonist
cp	BRD-K73397362	purmorphamine	Smoothened receptor agonist	SMO, DHH, IHH, PTCH1	Smoothened receptor agonist
cp	BRD-A28970875	puromycin	Protein synthesis inhibitor	NHP2L1, RPL10L, RPL11, RPL13A, RPL15, RPL19, RPL23, RPL23A, RPL26L1, RPL3, RPL37, RPL8, RSL24D1	Protein synthesis inhibitor
cp	BRD-K50836978	purvalanol-a	CDK inhibitor	CDK1, CDK2, CDK4, CDK5, CCND1, CCNE1, CSNK1G3, RPS6KA1, SRC	CDK inhibitor, DYRK inhibitor
cp	BRD-K41564320	purvalanol-b	Tyrosine kinase inhibitor	CDK2, CDK4, MAPK1, MAPK3, CDK5, SRPK2	Tyrosine kinase inhibitor
cp	BRD-K28667793	pyrazinamide	Fatty acid synthase inhibitor	FASN	Fatty acid synthase inhibitor
cp	BRD-K01567962	pyrazolanthrone	JNK inhibitor	MAPK10, MAPK8, MAPK9, TTK, LRRK2, MAPK8IP1	JNK inhibitor
cp	BRD-K10016611	pyridine-2-aldoxime	Acetylcholinesterase inhibitor	ACHE, BCHE	Acetylcholinesterase inhibitor
cp	BRD-K88429204	pyrimethamine	Dihydrofolate reductase inhibitor	DHFR, DHFRP1, HEXA, SLC47A1, STAT3	Dihydrofolate reductase inhibitor
